salinity,temp,cruise,par,date,lat,lon,SiO4,NO3_NO2,PO4,Fe,PP,chl,MLD
34.57410837,19.78234647,SR1917,2.202808649,11/20/19 6:00,34.1,-159.7,NA,NA,NA,NA,NA,NA,54.63926375
34.57416253,22.5372365,SR1917,1.62,11/23/19 8:00,33,-146.4,NA,NA,NA,NA,NA,NA,NA
34.57428083,25.88836167,Gradients 4,0.01795,12/2/21 7:00,4.840637719,-139.9814048,NA,NA,NA,NA,NA,NA,NA
34.57433828,19.79762155,SR1917,1.62,11/17/19 6:00,33.6,-174.3,NA,NA,NA,NA,NA,NA,NA
34.57451699,25.79513984,Gradients 4,1605.10015,12/1/21 17:00,4.758183077,-139.9995446,NA,NA,NA,NA,NA,NA,NA
34.57505505,21.58421101,TN271,1022.688991,10/30/11 6:00,32.3,-141.5,NA,NA,NA,NA,NA,NA,43.52444966
34.57514118,16.39328824,Gradients 1,0.246411765,4/30/16 14:00,33.16744118,-158.0001353,NA,NA,NA,NA,NA,NA,NA
34.57521,24.45576,KM1713,788.196005,9/21/17 21:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
34.57523683,25.97504199,Gradients 4,1.41545,12/2/21 14:00,4.7743,-139.9098022,NA,NA,NA,NA,NA,NA,NA
34.57532417,25.9278025,Gradients 4,682.71265,12/2/21 1:00,4.822221667,-140.0329433,NA,NA,NA,NA,NA,NA,NA
34.57535059,21.25850072,SR1917,712.1956284,11/16/19 3:00,32.3,-179.5,NA,NA,NA,NA,NA,NA,NA
34.57657514,29.27887707,SR1917,1.62,11/9/19 13:00,20.8,155.3,NA,NA,NA,NA,NA,NA,NA
34.57667901,29.37536575,SR1917,1470.195859,11/9/19 5:00,20.1,154.1,NA,NA,NA,NA,NA,NA,NA
34.57698421,16.31724211,Gradients 1,0.020447368,4/25/16 7:00,32.93656316,-157.9983579,NA,NA,NA,NA,NA,NA,NA
34.57731272,21.65966516,Gradients 4,1606.21675,11/22/21 22:00,23.51776484,-132.4753484,NA,NA,NA,NA,NA,NA,39.07903446
34.57734667,26.38979542,Gradients 4,0.0162,12/3/21 4:00,2.732274583,-140.0085242,NA,NA,NA,NA,NA,NA,NA
34.577765,16.67352,Gradients 1,0.07816,4/24/16 11:00,32.02455,-157.99902,NA,NA,0.036293983,NA,NA,NA,26.47905099
34.57781048,25.79681718,Gradients 4,0.3493,12/1/21 14:00,4.7506,-140.000525,NA,NA,NA,NA,NA,NA,NA
34.57818,26.257225,Gradients 2,-0.01415,6/13/17 11:00,23.13042,-157.687565,NA,NA,NA,NA,NA,NA,NA
34.57819417,25.93379212,Gradients 4,96.302,12/2/21 15:00,4.774301111,-139.9098,NA,2.895562584,NA,NA,NA,NA,NA
34.57826667,20.321905,TN398,0.0267,12/25/21 11:00,29.52053833,-136.5002913,1.19,0.08,0.1,NA,NA,NA,NA
34.57830042,25.94556917,Gradients 4,1803.1488,12/14/21 0:00,15.49304125,-153.41903,NA,NA,NA,NA,NA,NA,NA
34.5783775,25.78715708,Gradients 4,0.02055,12/1/21 13:00,4.752561667,-140.0006438,NA,NA,NA,NA,NA,NA,NA
34.57901657,19.74734807,SR1917,2.224506709,11/20/19 5:00,34.2,-159.9,NA,NA,NA,NA,NA,NA,54.63926375
34.57904708,25.94354208,Gradients 4,632.79355,12/2/21 16:00,4.7743,-139.9098,NA,NA,NA,NA,NA,NA,NA
34.57916339,19.703014,SR1917,1.62,11/16/19 16:00,33.2,-177.1,NA,NA,NA,NA,NA,NA,NA
34.57938679,29.12752166,SR1917,1.62,11/9/19 15:00,21,155.6,NA,NA,NA,NA,NA,NA,NA
34.57943542,25.9516125,Gradients 4,1357.67335,12/2/21 17:00,4.752685833,-139.9120063,NA,NA,NA,NA,NA,NA,NA
34.57971333,24.58023333,KM1713,125.7761132,9/21/17 3:00,34,-158,13.45266968,0.411808319,0.281738853,5.03E-06,0.00510897,0.085952146,27.62648416
